Concept,MappedTo,Accuracy,Correct
CLASS_23,DONTKNOW,51.95%,0
INDIVIDUAL_4,CHANGETO,83.83%,0
CLASS_9,FLIGHT,100%,1
CLASS_17,DONTKNOW,62.15%,0
QUESTION_QS_CAT,INFORMQ_FLIGHT,47.78%,0
CLAUSE_3,DONTKNOW,44.44%,0
CLASS_27,DONTKNOW,65.55%,0
QUESTION_1,CHANGE,12.89%,0
IMPERATIVE_IMP_CAT,FARETYPE,60.64%,0
WHPRON_CAT,HOURCAPITAL,39.09%,0
CLASS_13,DONTKNOW,51.05%,0
WHADV_CAT,FARETYPE,14.02%,0
UNKNOWN_49,CHANGE,61.07%,0
CLASS_10,FLIGHT,100%,1
ALL_RULES,,56.75%,14.29%
