Concept,MappedTo,Accuracy,Correct
COUNTRY,OBJECTTYPE_6,87.05%,0
ATTRIBUTE_PATH_MODIFIER,OBJECTTYPE_3,61.27%,0
HOTELNAMES,OBJECTTYPE_3,75.45%,0
MONEYSPEC,STATEMENT_140,63.81%,0
STATE,MODALITY_5,58.57%,0
FLIGHTTYPE,STATEMENT_16,91.78%,0
CARCOMPANY,MODALITY_6,64.49%,0
ALL_RULES,,71.77%,0%
